id,name,contact,address,city,postalCode,country,createdAt,updatedAt,deletedAt
41dd1755-5827-4962-b42f-a6c4110a9dbf,Cactus Comidas para llevar,Patricio Simpson,Cerrito 333,Buenos Aires,1010,Argentina,2024-07-01,2024-07-01,NULL
cfd2f305-e49a-4dd9-95f2-951582df1385,Centro comercial Moctezuma,Francisco Chang,Sierras de Granada 9993,México D.F.,05022,Mexico,2024-07-01,2024-07-01,NULL
111df171-85c7-4181-9328-70eccaf8ea95,Chop-suey Chinese,Yang Wang,Hauptstr. 29,Bern,3012,Switzerland,2024-07-01,2024-07-01,NULL
0408e684-e74f-4de0-bc48-c57d187539fa,Comércio Mineiro,Pedro Afonso,"Av. dos Lusíadas, 23",São Paulo,05432-043,Brazil,2024-07-01,2024-07-01,NULL
efba67d4-40e7-4f5a-853a-030c9d73b00b,Consolidated Holdings,Elizabeth Brown,Berkeley Gardens 12 Brewery,London,WX1 6LT,UK,2024-07-01,2024-07-01,NULL
65075ab9-8ae2-4617-92d1-989a00356d18,Drachenblut Delikatessend,Sven Ottlieb,Walserweg 21,Aachen,52066,Germany,2024-07-01,2024-07-01,NULL
a25788d1-45d5-4ec0-b5c5-5ee809359817,Du monde entier,Janine Labrune,"67, rue des Cinquante Otages",Nantes,44000,France,2024-07-01,2024-07-01,NULL
7f8df91c-55cc-4c9d-ba0f-41f099eb193c,Eastern Connection,Ann Devon,35 King George,London,WX3 6FW,UK,2024-07-01,2024-07-01,NULL
8ea6fe44-e546-45ed-a5a6-7d716306f537,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,2024-07-01,2024-07-01,NULL
d5f5a174-89c4-4cb8-acd1-98ef4e2adacc,Familia Arquibaldo,Aria Cruz,"Rua Orós, 92",São Paulo,05442-030,Brazil,2024-07-01,2024-07-01,NULL
aebca3be-54bc-4d2a-8d1c-b25bac6025a4,FISSA Fabrica Inter. Salchichas S.A.,Diego Roel,"C/ Moralzarzal, 86",Madrid,28034,Spain,2024-07-01,2024-07-01,NULL
d3f430ee-8d09-46ab-8be1-cc0e754ca322,Folies gourmandes,Martine Rancé,"184, chaussée de Tournai",Lille,59000,France,2024-07-01,2024-07-01,NULL
5c55d831-4932-4042-a16b-d27b22dd708b,Folk och fä HB,Maria Larsson,Åkergatan 24,Bräcke,S-844 67,Sweden,2024-07-01,2024-07-01,NULL
ca1565b2-6b76-41b7-a850-7260bb836bf5,Frankenversand,Peter Franken,Berliner Platz 43,München,80805,Germany,2024-07-01,2024-07-01,NULL
eda8d9c0-8b4f-45c2-8964-a4f9bd4881bf,France restauration,Carine Schmitt,"54, rue Royale",Nantes,44000,France,2024-07-01,2024-07-01,NULL
27ab1229-cd5d-42cd-946f-ce077c7719e0,Franchi S.p.A.,Paolo Accorti,Via Monte Bianco 34,Torino,10100,Italy,2024-07-01,2024-07-01,NULL
36dd5226-e00e-40fd-8489-5d0ce5887895,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Jardim das rosas n. 32,Lisboa,1675,Portugal,2024-07-01,2024-07-01,NULL
880a904c-3300-493f-bcdf-c5be8bd3e05a,Galería del gastrónomo,Eduardo Saavedra,"Rambla de Cataluña, 23",Barcelona,08022,Spain,2024-07-01,2024-07-01,NULL
d9661864-4978-4b7e-a3e6-efd87ddd5501,Godos Cocina Típica,José Pedro Freyre,"C/ Romero, 33",Sevilla,41101,Spain,2024-07-01,2024-07-01,NULL
5bf8780d-48ca-4cec-90a6-9429109e31fb,Gourmet Lanchonetes,André Fonseca,"Av. Brasil, 442",Campinas,04876-786,Brazil,2024-07-01,2024-07-01,NULL
45a3bf87-a902-4d16-a221-15e923d7eeb3,Great Lakes Food Market,Howard Snyder,2732 Baker Blvd.,Eugene,97403,USA,2024-07-01,2024-07-01,NULL
0a75c48c-0a6f-4ee2-89c1-9b31d64f1396,GROSELLA-Restaurante,Manuel Pereira,5ª Ave. Los Palos Grandes,Caracas,1081,Venezuela,2024-07-01,2024-07-01,NULL
7522feb7-0391-4416-aeb8-365a33f343f7,Hanari Carnes,Mario Pontes,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,2024-07-01,2024-07-01,NULL
9bd50d8b-f7d8-4f4d-a0c3-34063e558a00,HILARIÓN-Abastos,Carlos Hernández,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,5022,Venezuela,2024-07-01,2024-07-01,NULL
2e3c2d2a-ceb5-48ff-841b-0dfc0b913cb9,Hungry Coyote Import Store,Yoshi Latimer,City Center Plaza 516 Main St.,Elgin,97827,USA,2024-07-01,2024-07-01,NULL
36d502f8-5414-4864-a6fa-be229e460270,Hungry Owl All-Night Grocers,Patricia McKenna,8 Johnstown Road,Cork,,Ireland,2024-07-01,2024-07-01,NULL
4bdac68b-87ce-414b-acc5-9fcf7afb7be7,Island Trading,Helen Bennett,Garden House Crowther Way,Cowes,PO31 7PJ,UK,2024-07-01,2024-07-01,NULL
ea2d9719-8078-43e6-bcbd-e70163987a8b,Königlich Essen,Philip Cramer,Maubelstr. 90,Brandenburg,14776,Germany,2024-07-01,2024-07-01,NULL
181e6da6-041e-4acc-995b-bbe7add8a07d,La corne d'abondance,Daniel Tonini,"67, avenue de l'Europe",Versailles,78000,France,2024-07-01,2024-07-01,NULL
f0d8936a-eb4b-441c-b86e-5ff67a69b30d,La maison d'Asie,Annette Roulet,1 rue Alsace-Lorraine,Toulouse,31000,France,2024-07-01,2024-07-01,NULL
e25e1b76-37f7-4f76-9db3-1092421defbc,Laughing Bacchus Wine Cellars,Yoshi Tannamuri,1900 Oak St.,Vancouver,V3F 2K1,Canada,2024-07-01,2024-07-01,NULL
b2fc341f-df62-4568-aeb1-6db672ffb98e,Lazy K Kountry Store,John Steel,12 Orchestra Terrace,Walla Walla,99362,USA,2024-07-01,2024-07-01,NULL
ba1b3351-788c-41b2-a4b7-a3c49f3b0288,Lehmanns Marktstand,Renate Messner,Magazinweg 7,Frankfurt a.M.,60528,Germany,2024-07-01,2024-07-01,NULL
cab9f11c-be97-4a06-84bc-95dd3459db78,Let's Stop N Shop,Jaime Yorres,87 Polk St. Suite 5,San Francisco,94117,USA,2024-07-01,2024-07-01,NULL
f1355b68-79f3-418b-9f1a-9acc496e1ed6,LILA-Supermercado,Carlos González,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,3508,Venezuela,2024-07-01,2024-07-01,NULL
f8819c36-2871-45ba-bec9-c726d9735156,LINO-Delicateses,Felipe Izquierdo,Ave. 5 de Mayo Porlamar,I. de Margarita,4980,Venezuela,2024-07-01,2024-07-01,NULL
525c6a72-d0dd-41cc-a596-2ac9d4fce6db,Lonesome Pine Restaurant,Fran Wilson,89 Chiaroscuro Rd.,Portland,97219,USA,2024-07-01,2024-07-01,NULL
776a819f-4881-4de2-8770-69c0e5b683dc,Magazzini Alimentari Riuniti,Giovanni Rovelli,Via Ludovico il Moro 22,Bergamo,24100,Italy,2024-07-01,2024-07-01,NULL
9d7b6d75-5741-4622-9e09-943f0fe7a97d,Maison Dewey,Catherine Dewey,Rue Joseph-Bens 532,Bruxelles,B-1180,Belgium,2024-07-01,2024-07-01,NULL
a4db2461-0a79-425d-ba18-5e13aea0192c,Mère Paillarde,Jean Fresnière,43 rue St. Laurent,Montréal,H1J 1C3,Canada,2024-07-01,2024-07-01,NULL
159374a9-0455-4357-bbb5-12198f99394f,Morgenstern Gesundkost,Alexander Feuer,Heerstr. 22,Leipzig,04179,Germany,2024-07-01,2024-07-01,NULL
6e6f8ac6-0913-4155-90e5-871e9a6c17cc,North/South,Simon Crowther,South House 300 Queensbridge,London,SW7 1RZ,UK,2024-07-01,2024-07-01,NULL
e6e95047-524d-499e-82a4-4c3b86acc4f3,Océano Atlántico Ltda.,Yvonne Moncada,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,1010,Argentina,2024-07-01,2024-07-01,NULL
5082e0e0-7779-4623-82fe-727a60386241,Old World Delicatessen,Rene Phillips,2743 Bering St.,Anchorage,99508,USA,2024-07-01,2024-07-01,NULL
a5b8848d-b454-48bd-97dd-5743b01c67ba,Ottilies Käseladen,Henriette Pfalzheim,Mehrheimerstr. 369,Köln,50739,Germany,2024-07-01,2024-07-01,NULL
637a919b-ab75-4264-bfa3-3f3fe06d13c5,Paris spécialités,Marie Bertrand,"265, boulevard Charonne",Paris,75012,France,2024-07-01,2024-07-01,NULL
0849599b-8046-46fd-b4b5-51842f060419,Pericles Comidas clásicas,Guillermo Fernández,Calle Dr. Jorge Cash 321,México D.F.,05033,Mexico,2024-07-01,2024-07-01,NULL
0448e3d6-2d38-480b-b92d-1e08d47ce95c,Piccolo und mehr,Georg Pipps,Geislweg 14,Salzburg,5020,Austria,2024-07-01,2024-07-01,NULL
bede010f-f766-4fd8-8dc2-e593edbff816,Princesa Isabel Vinhoss,Isabel de Castro,Estrada da saúde n. 58,Lisboa,1756,Portugal,2024-07-01,2024-07-01,NULL
1f45ced3-6f00-4aae-9209-170899f233d2,Que Delícia,Bernardo Batista,"Rua da Panificadora, 12",Rio de Janeiro,02389-673,Brazil,2024-07-01,2024-07-01,NULL
5af9549b-28b6-4dd9-a6a6-b4c840f43ca6,Queen Cozinha,Lúcia Carvalho,"Alameda dos Canàrios, 891",São Paulo,05487-020,Brazil,2024-07-01,2024-07-01,NULL
71e83b15-dc3b-4e0d-83f8-f1c75a99c49c,QUICK-Stop,Horst Kloss,Taucherstraße 10,Cunewalde,01307,Germany,2024-07-01,2024-07-01,NULL
6b438ff2-1614-48f8-9ec3-fd1f726bea38,Rancho grande,Sergio Gutiérrez,Av. del Libertador 900,Buenos Aires,1010,Argentina,2024-07-01,2024-07-01,NULL
eee469dd-2ee1-4fbe-b3ec-3a066ed64201,Rattlesnake Canyon Grocery,Paula Wilson,2817 Milton Dr.,Albuquerque,87110,USA,2024-07-01,2024-07-01,NULL
e40b3b14-2e4e-45b4-bee7-1b48de2d325a,Reggiani Caseifici,Maurizio Moroni,Strada Provinciale 124,Reggio Emilia,42100,Italy,2024-07-01,2024-07-01,NULL
99667267-caa0-488a-a503-3003c35e323e,Ricardo Adocicados,Janete Limeira,"Av. Copacabana, 267",Rio de Janeiro,02389-890,Brazil,2024-07-01,2024-07-01,NULL
4487235f-62cf-41bd-b824-a502a6439033,Richter Supermarkt,Michael Holz,Grenzacherweg 237,Genève,1203,Switzerland,2024-07-01,2024-07-01,NULL
d346037a-a406-45e5-8892-dc445db0c63e,Romero y tomillo,Alejandra Camino,"Gran Vía, 1",Madrid,28001,Spain,2024-07-01,2024-07-01,NULL
f3c3c71b-f033-4599-bf96-259b103416ae,Santé Gourmet,Jonas Bergulfsen,Erling Skakkes gate 78,Stavern,4110,Norway,2024-07-01,2024-07-01,NULL
82bed153-4f4a-4fe5-b619-b94531757148,Save-a-lot Markets,Jose Pavarotti,187 Suffolk Ln.,Boise,83720,USA,2024-07-01,2024-07-01,NULL
3491493a-5a15-412b-b069-f743b6877316,Seven Seas Imports,Hari Kumar,90 Wadhurst Rd.,London,OX15 4NB,UK,2024-07-01,2024-07-01,NULL
1ea9342f-f749-4c01-8bb7-239edade5bbb,Simons bistro,Jytte Petersen,Vinbæltet 34,København,1734,Denmark,2024-07-01,2024-07-01,NULL
6e896023-37ee-48b1-bff4-e47c75fc0a62,Spécialités du monde,Dominique Perrier,"25, rue Lauriston",Paris,75016,France,2024-07-01,2024-07-01,NULL
309a4d83-c699-4169-9be9-999df9de9cba,Split Rail Beer & Ale,Art Braunschweiger,P.O. Box 555,Lander,82520,USA,2024-07-01,2024-07-01,NULL
2f5cfb67-5abd-4c7d-af1c-03a972ed1a60,Suprêmes délices,Pascale Cartrain,"Boulevard Tirou, 255",Charleroi,B-6000,Belgium,2024-07-01,2024-07-01,NULL
e74f692e-4f77-4964-8ce9-157d315d8eb7,The Big Cheese,Liz Nixon,89 Jefferson Way Suite 2,Portland,97201,USA,2024-07-01,2024-07-01,NULL
1deff09a-c746-48ff-b753-7dc2bc9290cf,The Cracker Box,Liu Wong,55 Grizzly Peak Rd.,Butte,59801,USA,2024-07-01,2024-07-01,NULL
70fac722-1731-4170-8718-ef369f4e956b,Toms Spezialitäten,Karin Josephs,Luisenstr. 48,Münster,44087,Germany,2024-07-01,2024-07-01,NULL
1c9d58c1-a086-43d8-8c33-55b2a9c53774,Tortuga Restaurante,Miguel Angel Paolino,Avda. Azteca 123,México D.F.,05033,Mexico,2024-07-01,2024-07-01,NULL
b03be1ae-6407-4bed-874e-247a6ddd5141,Tradição Hipermercados,Anabela Domingues,"Av. Inês de Castro, 414",São Paulo,05634-030,Brazil,2024-07-01,2024-07-01,NULL
8a26065b-84b1-45c4-9f3b-f51fdaebd9f6,Trail's Head Gourmet Provisioners,Helvetius Nagy,722 DaVinci Blvd.,Kirkland,98034,USA,2024-07-01,2024-07-01,NULL
745414a9-c085-41c7-9303-866556eb7239,Vaffeljernet,Palle Ibsen,Smagsløget 45,Århus,8200,Denmark,2024-07-01,2024-07-01,NULL
1be05821-816e-40ce-89f2-5f390cbdc3a6,Victuailles en stock,Mary Saveley,"2, rue du Commerce",Lyon,69004,France,2024-07-01,2024-07-01,NULL
4238799d-3287-44b8-bd2b-e45a7ed80d69,Vins et alcools Chevalier,Paul Henriot,59 rue de l'Abbaye,Reims,51100,France,2024-07-01,2024-07-01,NULL
c416414f-5121-44c4-bee7-5742e2e9996d,Die Wandernde Kuh,Rita Müller,Adenauerallee 900,Stuttgart,70563,Germany,2024-07-01,2024-07-01,NULL
d8c3c057-37fb-440e-a589-3a54f8282148,Wartian Herkku,Pirkko Koskitalo,Torikatu 38,Oulu,90110,Finland,2024-07-01,2024-07-01,NULL
0c97bc8c-270d-4fdc-90bc-5a8497b4f815,Wellington Importadora,Paula Parente,"Rua do Mercado, 12",Resende,08737-363,Brazil,2024-07-01,2024-07-01,NULL
4bcc7027-1a2d-4183-86de-db3c4f4b27df,White Clover Markets,Karl Jablonski,305 - 14th Ave. S. Suite 3B,Seattle,98128,USA,2024-07-01,2024-07-01,NULL
e8eb93da-9b59-4c74-a327-2ae586d72e4a,Wilman Kala,Matti Karttunen,Keskuskatu 45,Helsinki,21240,Finland,2024-07-01,2024-07-01,NULL
7fdecc77-63f9-4826-b704-ca0a3509afed,Wolski,Zbyszek,ul. Filtrowa 68,Walla,01-012,Poland,2024-07-01,2024-07-01,NULL
